,NPI_ID,HCP_ID,TARGET,Age,Year_of_Experience,Number_of_Rx,Rx_last_1_Month,Rx_last_3_Month,Rx_last_6_Month,Rx_last_12_Month,Claims_last_1_Month,Claims_last_3_Month,Claims_last_6_Month,Claims_last_12_Month,Procedures_chemo_last_1_month,Procedures_chemo_last_3_month,Procedures_chemo_last_6_month,Procedures_chemo_last_12_month,Procedures_radio_last_6_month,Procedures_radio_last_12_month,Procedures_Biopsy_last_6_month,Promotional_medscape,Promotional_medscape_last_1_month,Promotional_medscape_last_3_month,Promotional_medscape_last_6_month,Promotional_medscape_last_12_month,Sex_ M ,Specialty_Oncology,Specialty_Pediatric,Specialty_Uro-oncology,HCO_Affiliation_Type_Contract,HCO_Affiliation_Type_Referral
86,8702613,HCP_87,0,42,46,849,1198,2394,2510,3045,168,328,656,1248,71,113,187,232,93,147,99,7,13,18,22,30,False,False,False,True,False,False
87,4786704,HCP_88,0,59,10,380,740,962,981,1041,272,544,732,1287,70,131,239,334,138,230,177,9,17,22,35,55,True,False,False,True,False,True
88,5906562,HCP_89,0,78,52,1036,1411,2057,3061,3192,92,135,251,294,61,121,183,357,106,136,122,9,14,22,38,70,False,False,False,True,False,False
89,5056743,HCP_90,0,72,44,1100,1359,1646,2704,3443,57,76,114,143,50,84,131,169,63,80,118,6,9,13,16,18,False,False,True,False,False,False
90,4493006,HCP_91,0,78,60,363,489,768,1212,1874,142,147,198,332,71,121,205,325,141,251,291,7,9,13,14,21,True,False,False,True,False,False
91,7915732,HCP_92,0,88,35,767,1052,1726,2222,3627,324,629,895,1711,50,86,151,179,101,138,168,8,9,18,21,35,True,False,False,True,False,False
92,4200688,HCP_93,0,46,18,899,960,1453,1753,1881,295,578,836,965,69,107,189,236,99,173,183,5,7,9,10,11,False,False,False,False,False,False
93,2908709,HCP_94,0,44,44,1052,1112,1954,2874,5107,332,606,653,907,25,39,77,88,57,64,136,6,11,18,21,28,True,False,False,False,False,True
94,3713288,HCP_95,0,49,60,1100,2110,2422,4622,9003,80,123,158,191,57,72,91,174,151,192,163,8,13,18,19,21,True,False,False,False,False,False
95,5963922,HCP_96,0,78,60,1100,1728,2946,3234,4996,50,55,103,162,71,129,257,368,104,148,202,10,17,21,42,78,False,False,True,False,False,False
96,5816420,HCP_97,0,54,55,1006,1795,2243,2813,3164,302,490,646,1039,56,93,142,166,204,349,71,9,17,29,35,64,False,False,False,False,False,False
97,4594284,HCP_98,0,31,31,787,1455,2228,3739,6307,169,227,341,660,60,77,145,276,101,166,297,9,12,24,41,63,False,False,False,True,False,True
98,9407383,HCP_99,0,38,29,1100,2150,4002,4141,7049,323,485,729,1091,59,103,175,188,165,300,107,10,16,32,60,70,True,False,True,False,False,False
99,6079033,HCP_100,0,59,50,1064,1949,2646,3549,6174,187,339,410,664,66,73,130,219,103,105,222,9,15,20,35,57,False,False,True,False,True,False
100,5874095,HCP_101,0,70,22,525,920,1079,1285,1360,111,199,283,462,41,46,92,145,55,93,79,6,7,13,18,31,True,False,False,False,True,False
101,8913188,HCP_102,0,85,49,1100,1149,2248,4000,6056,206,298,379,651,38,48,71,94,79,100,188,5,10,18,28,56,True,False,False,False,True,False
102,8097243,HCP_103,0,62,54,1100,1286,2309,2659,3660,344,626,1038,1188,41,52,60,82,84,164,76,5,9,10,13,23,True,False,True,False,True,False
103,9720646,HCP_104,0,71,22,222,247,440,842,1346,269,293,554,991,35,70,73,105,226,330,119,6,8,16,25,34,False,False,False,True,False,True
104,9199441,HCP_105,0,71,21,641,684,1209,2381,2436,177,220,351,640,40,55,72,127,49,64,107,5,8,12,23,43,False,False,False,True,False,True
105,4770067,HCP_106,0,33,54,1100,1371,2364,4548,6896,262,286,455,877,36,56,73,140,190,212,224,9,13,24,38,39,True,False,False,True,False,False
106,2527204,HCP_107,0,31,56,1082,1809,3166,6158,6815,212,303,406,606,44,76,108,215,137,184,89,7,9,18,33,49,True,False,False,True,False,False
107,2754559,HCP_108,0,91,60,1100,1832,3070,4902,6012,15,19,20,29,35,45,80,115,200,352,82,5,10,19,35,63,True,False,True,False,True,False
108,9165447,HCP_109,0,32,10,762,1210,2053,3133,5344,76,99,187,198,37,73,139,199,123,228,140,9,12,23,31,51,True,False,False,False,False,True
109,6081961,HCP_110,0,70,10,340,641,1202,2200,4027,31,49,63,66,72,133,156,191,196,304,113,5,8,10,11,14,False,False,False,False,False,True
110,2545681,HCP_111,0,29,28,421,681,1041,1910,2024,58,111,150,238,43,55,92,173,200,377,87,10,12,18,30,56,False,True,False,False,False,True
111,1167297,HCP_112,0,47,50,948,1314,1344,1866,3722,13,22,32,63,72,97,173,226,129,256,86,6,7,13,18,21,True,False,False,False,False,False
112,3882398,HCP_113,0,47,11,274,400,524,1039,1413,95,137,176,180,32,36,65,116,148,288,84,7,12,16,17,21,False,False,False,True,False,True
113,4313009,HCP_114,0,39,17,1053,1775,3151,4381,6696,284,397,537,1063,34,66,70,125,76,97,63,8,16,17,26,52,False,False,True,False,False,True
114,8221716,HCP_115,0,54,60,1100,1939,2605,3741,3851,289,393,571,887,33,34,55,82,237,401,158,5,6,12,20,35,True,False,False,False,False,False
115,8159501,HCP_116,0,59,60,1100,2082,3317,5516,9072,238,459,854,1055,39,58,77,116,119,153,200,9,17,21,26,31,True,False,True,False,True,False
116,3642587,HCP_117,0,88,10,815,868,1035,1253,1867,100,113,224,342,44,47,53,101,90,111,116,10,17,26,43,49,False,False,False,True,False,False
117,5937041,HCP_118,0,62,57,1100,1668,2187,4205,6600,181,254,445,671,48,78,150,158,118,151,219,7,10,17,24,38,True,False,False,True,True,False
118,3981014,HCP_119,0,76,10,1100,1787,2473,3760,4104,257,307,553,743,45,73,135,214,182,353,115,5,9,13,17,18,False,False,False,False,False,True
119,2147727,HCP_120,0,36,60,1072,1098,1881,3015,5833,38,55,82,89,72,122,154,177,55,68,69,6,9,18,26,43,False,False,False,True,False,False
120,3435608,HCP_121,0,39,31,351,547,720,1324,2041,38,69,115,153,69,130,164,211,86,157,87,7,14,21,22,42,False,False,True,False,False,True
121,4846013,HCP_122,0,66,10,323,483,773,851,1352,303,381,581,1028,64,73,142,151,99,178,114,5,8,9,16,32,False,False,True,False,False,False
122,9841209,HCP_123,0,73,10,930,952,1265,1824,2083,99,128,187,324,57,107,136,145,103,144,46,7,12,22,24,44,True,False,False,False,False,False
123,6213650,HCP_124,0,81,23,968,1489,2656,4664,6372,101,172,187,237,71,90,95,162,160,202,73,6,7,14,16,20,True,False,False,False,False,True
124,7640455,HCP_125,0,66,10,122,241,427,830,1290,251,330,603,653,66,89,108,141,79,122,105,5,9,18,32,64,True,False,True,False,True,False
125,3577231,HCP_126,0,79,33,1100,1273,2238,3880,6725,288,467,793,1398,35,59,73,84,204,244,77,10,12,14,22,36,False,False,False,True,False,False
126,3911830,HCP_127,0,68,10,514,924,1423,2053,2881,69,126,175,186,45,88,116,118,91,110,148,5,8,10,12,21,False,True,False,False,False,False
127,8743255,HCP_128,0,45,21,319,399,605,951,1104,219,254,280,431,48,60,92,144,119,188,117,6,8,16,31,62,True,False,False,False,False,False
128,4265465,HCP_129,0,78,32,331,642,1030,1093,1460,200,257,471,635,46,72,103,161,148,260,192,9,18,25,49,58,True,False,False,False,False,False
129,5819778,HCP_130,0,42,39,798,1581,3146,4456,5787,75,141,254,507,29,47,65,74,108,144,98,7,10,14,16,24,False,False,False,False,False,True
130,6338912,HCP_131,0,58,42,1100,2037,3561,5127,5785,189,280,336,666,46,78,101,178,116,221,97,9,14,22,28,56,False,False,False,True,False,False
131,4592655,HCP_132,0,83,39,1100,1394,1756,3442,6307,120,137,198,232,70,110,212,365,119,188,160,6,11,20,21,22,False,False,False,False,True,False
132,7303949,HCP_133,0,57,56,1100,1392,2746,5302,8239,69,104,165,240,47,73,105,130,168,316,110,7,8,14,22,27,True,False,False,False,False,True
133,3835910,HCP_134,0,44,10,752,754,1307,2569,2750,229,452,572,579,70,133,194,381,144,208,153,9,18,19,22,41,True,True,False,False,True,False
134,9463971,HCP_135,0,87,51,1027,1169,2122,3014,3560,231,431,485,936,35,50,83,104,73,100,68,6,7,8,15,30,False,False,False,False,True,False
135,3711105,HCP_136,0,82,60,1100,1123,1380,2111,3961,171,229,259,402,28,55,92,117,253,374,87,10,19,23,25,33,True,False,False,False,False,True
136,3316402,HCP_137,0,63,43,1064,1091,1776,2901,3354,143,208,416,798,30,39,56,69,145,153,54,9,15,26,46,69,False,False,False,False,True,False
137,9742090,HCP_138,0,41,12,548,1042,1541,1614,1904,337,484,627,1067,57,74,86,140,214,344,152,6,7,8,9,10,False,False,False,False,True,False
138,8069987,HCP_139,0,55,52,972,1458,1921,2004,3597,208,253,446,563,33,34,37,59,114,200,237,6,11,12,13,16,True,False,False,True,False,False
139,2788103,HCP_140,0,30,58,1100,1298,1332,1738,2865,175,206,276,484,32,43,62,92,122,222,121,8,13,23,38,64,True,False,False,False,False,True
140,4505800,HCP_141,0,87,60,100,161,282,441,748,82,92,132,222,35,62,92,172,146,182,44,7,8,15,27,29,False,False,False,False,True,False
141,1741960,HCP_142,0,60,50,1100,1873,3249,5359,5823,96,153,256,410,33,44,64,101,107,184,193,6,7,11,19,23,False,False,False,True,False,False
142,3425948,HCP_143,0,45,55,904,1702,2117,2336,3499,66,71,125,154,47,78,149,151,202,401,85,5,6,11,17,22,False,False,False,False,False,False
143,9970168,HCP_144,0,47,46,928,1166,1428,2412,3213,169,181,263,328,30,48,63,70,153,163,153,5,8,15,27,51,True,False,True,False,False,False
144,5141379,HCP_145,0,29,11,204,384,555,755,975,103,131,190,324,43,60,108,160,103,121,65,7,10,17,26,51,False,False,False,False,False,False
145,6930670,HCP_146,0,70,60,466,894,995,1553,1927,296,442,672,1249,64,77,97,167,130,179,238,8,10,18,31,62,True,False,False,True,True,False
146,5852357,HCP_147,0,66,58,1100,1431,2363,3129,4897,72,134,242,326,70,118,166,186,205,341,150,6,12,20,34,37,True,False,False,False,False,False
147,5970744,HCP_148,0,91,21,1100,1962,3132,3507,5058,149,259,494,830,25,32,42,73,177,260,83,10,15,19,36,64,False,False,True,False,False,False
148,9519661,HCP_149,0,44,40,1050,1708,2364,2503,3996,116,156,286,406,62,115,188,251,167,238,65,9,10,20,32,61,False,False,True,False,False,False
149,1001849,HCP_150,0,83,50,1100,1412,1964,2162,2613,248,492,871,1534,24,33,45,79,87,156,90,8,14,20,36,45,True,False,True,False,False,True
150,6967149,HCP_151,0,38,19,1100,1928,3746,4657,6274,181,330,610,879,38,49,63,79,64,119,209,5,9,15,17,23,False,False,False,False,False,False
151,8140354,HCP_152,0,80,12,198,252,392,490,849,142,143,198,349,27,40,65,125,70,128,81,7,11,14,15,23,False,False,False,True,False,False
152,5579420,HCP_153,0,29,10,601,1152,2098,2527,3290,154,211,283,435,73,122,145,248,71,89,96,8,12,17,24,35,False,True,False,False,False,False
153,3790588,HCP_154,0,92,60,1009,1368,1691,2856,4695,55,62,107,136,54,101,154,157,182,243,131,7,12,16,20,40,False,False,False,False,False,False
154,6825150,HCP_155,0,31,17,1044,1517,2679,3015,3526,303,546,753,1253,23,28,48,78,97,132,96,9,16,27,44,84,True,True,False,False,True,False
155,4751357,HCP_156,0,62,13,383,411,576,1008,1857,90,138,190,234,62,111,178,238,115,153,123,9,12,16,25,30,True,True,False,False,False,False
156,8855838,HCP_157,0,73,54,1056,1133,1480,1801,1997,185,191,324,376,29,50,99,177,138,144,82,6,7,8,12,18,False,False,False,True,True,False
157,6698925,HCP_158,0,58,58,1091,1684,1883,3589,5261,242,402,644,783,49,90,115,224,283,510,91,6,9,18,23,46,False,False,False,False,False,False
158,1751933,HCP_159,0,28,59,1100,1408,2405,3406,5459,260,283,326,542,49,74,76,87,102,184,210,10,12,17,19,30,False,False,False,False,False,False
159,7586204,HCP_160,0,51,60,1100,2100,4146,5852,10544,41,64,89,154,33,38,62,88,124,215,90,10,12,20,31,45,True,False,False,True,False,False
160,4889344,HCP_161,0,41,60,968,1151,2117,4097,7447,341,560,799,1516,34,61,117,214,143,242,78,5,8,12,22,26,True,False,False,False,True,False
161,8522543,HCP_162,0,60,60,1010,1204,2192,3638,6391,93,185,318,468,28,50,68,103,200,287,112,9,12,21,31,57,True,False,True,False,True,False
162,7752117,HCP_163,0,43,60,1100,2176,3470,3504,5297,336,513,555,759,48,87,174,183,159,203,148,7,8,13,15,30,True,False,False,False,True,False
163,8611536,HCP_164,0,88,38,1100,1972,2840,5240,6263,175,339,486,551,38,46,47,80,76,127,157,8,15,21,42,73,False,False,False,False,False,False
164,8592240,HCP_165,0,57,54,1100,1510,1957,3377,5954,327,578,878,1095,59,101,131,155,154,162,67,8,11,13,17,20,False,False,True,False,False,False
165,9752348,HCP_166,0,64,55,217,326,605,1077,1349,188,299,478,479,61,91,148,259,188,201,137,10,18,21,23,31,True,False,True,False,False,False
166,5121458,HCP_167,0,57,52,1100,2193,3918,5661,6596,134,265,403,484,35,70,128,226,82,163,109,8,16,22,29,57,True,False,False,False,False,False
167,1543757,HCP_168,0,57,10,599,765,905,996,1746,291,575,742,787,69,126,179,197,79,103,100,7,9,15,19,27,True,False,False,True,False,False
168,7108294,HCP_169,0,59,36,927,1741,3119,5022,8042,310,470,614,1075,33,53,99,128,107,142,148,6,10,12,19,31,False,False,False,False,False,False
169,7924539,HCP_170,0,39,58,1100,1120,1409,1948,1993,218,261,461,724,69,121,180,275,149,176,155,5,9,17,18,27,True,True,False,False,False,False
170,1269394,HCP_171,0,48,46,550,804,1178,1442,1806,125,197,264,294,33,50,92,151,136,166,109,9,10,14,20,25,True,True,False,False,True,False
171,3650201,HCP_172,0,53,42,949,956,1035,1918,3262,164,210,291,445,33,64,105,132,133,136,60,5,9,18,34,50,False,False,False,False,False,False
172,1767909,HCP_173,0,67,18,548,904,1018,1630,1977,248,401,685,1004,24,45,69,117,71,86,203,7,8,16,24,36,False,False,False,False,False,True
173,3810068,HCP_174,0,40,51,1100,1635,2032,2679,4774,47,49,84,139,55,82,149,194,156,212,192,5,7,8,9,14,True,False,False,False,False,True
